127.0.0.1 - - [18/Apr/2015:17:58:16 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [18/Apr/2015:17:58:19 +0530] "GET /e-canvass/jsp/Teacher.jsp HTTP/1.1" 200 1791
0:0:0:0:0:0:0:1 - - [18/Apr/2015:17:58:20 +0530] "GET /e-canvass/bootstrap/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2015:17:58:20 +0530] "GET /e-canvass/bootstrap/bootstrap-responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2015:17:58:20 +0530] "GET /e-canvass/bootstrap/bootstrap-responsive.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2015:17:58:20 +0530] "GET /e-canvass/bootstrap/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2015:17:58:20 +0530] "GET /e-canvass/bootstrap/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2015:17:58:20 +0530] "GET /e-canvass/bootstrap/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2015:17:58:20 +0530] "GET /e-canvass/images/14.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2015:17:58:20 +0530] "GET /e-canvass/images/9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2015:17:58:32 +0530] "GET /e-canvass/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2015:17:58:41 +0530] "GET /e-canvass/html/index.html HTTP/1.1" 200 1217
0:0:0:0:0:0:0:1 - - [18/Apr/2015:17:58:41 +0530] "GET /e-canvass/bootstrap/bootstrap.css HTTP/1.1" 200 127343
0:0:0:0:0:0:0:1 - - [18/Apr/2015:17:58:41 +0530] "GET /e-canvass/bootstrap/bootstrap.min.css HTTP/1.1" 200 106006
0:0:0:0:0:0:0:1 - - [18/Apr/2015:17:58:41 +0530] "GET /e-canvass/bootstrap/bootstrap.min.js HTTP/1.1" 200 28631
0:0:0:0:0:0:0:1 - - [18/Apr/2015:17:58:41 +0530] "GET /e-canvass/bootstrap/bootstrap-responsive.min.css HTTP/1.1" 200 16840
0:0:0:0:0:0:0:1 - - [18/Apr/2015:17:58:41 +0530] "GET /e-canvass/bootstrap/bootstrap-responsive.css HTTP/1.1" 200 22102
0:0:0:0:0:0:0:1 - - [18/Apr/2015:17:58:41 +0530] "GET /e-canvass/bootstrap/bootstrap.js HTTP/1.1" 200 61884
