0:0:0:0:0:0:0:1 - - [31/Mar/2015:22:56:54 +0530] "GET /e-canvass/jsp/posts.jsp?217 HTTP/1.1" 200 2100
0:0:0:0:0:0:0:1 - - [31/Mar/2015:22:57:00 +0530] "POST /e-canvass/Post_text?12720 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [31/Mar/2015:22:58:07 +0530] "GET /e-canvass/jsp/posts.jsp?217 HTTP/1.1" 200 2100
0:0:0:0:0:0:0:1 - - [31/Mar/2015:22:58:08 +0530] "GET /e-canvass/bootstrap/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2015:22:58:08 +0530] "GET /e-canvass/bootstrap/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2015:22:58:08 +0530] "GET /e-canvass/bootstrap/bootstrap-responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2015:22:58:08 +0530] "GET /e-canvass/bootstrap/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2015:22:58:08 +0530] "GET /e-canvass/bootstrap/bootstrap-responsive.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2015:22:58:08 +0530] "GET /e-canvass/bootstrap/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2015:22:58:08 +0530] "GET /e-canvass/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2015:22:58:12 +0530] "POST /e-canvass/Post_text?12720 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2015:22:58:12 +0530] "GET /e-canvass/jsp/posts.jsp?217 HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [31/Mar/2015:22:58:15 +0530] "POST /e-canvass/Post_text?12720 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2015:22:58:15 +0530] "GET /e-canvass/jsp/posts.jsp?217 HTTP/1.1" 200 2835
0:0:0:0:0:0:0:1 - - [31/Mar/2015:22:58:17 +0530] "GET /e-canvass/jsp/Teacher.jsp HTTP/1.1" 200 2879
0:0:0:0:0:0:0:1 - - [31/Mar/2015:22:58:39 +0530] "GET /e-canvass/jsp/posts.jsp?217 HTTP/1.1" 200 2835
0:0:0:0:0:0:0:1 - - [31/Mar/2015:22:58:47 +0530] "GET /e-canvass/jsp/Teacher.jsp HTTP/1.1" 200 2879
0:0:0:0:0:0:0:1 - - [31/Mar/2015:22:58:51 +0530] "GET /e-canvass/LogOut HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2015:22:59:09 +0530] "POST /e-canvass/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2015:22:59:09 +0530] "GET /e-canvass/jsp/Teacher.jsp HTTP/1.1" 200 2795
